# Results from Mixed In Key 10.3.2464.0
ID	Class	Camelot	Keyname
846900	22	11B	A major
847422	7	8A	A minor
5450838	8	9A	E minor
1468437	9	10A	B minor
781995	19	8B	C major
3400782	3	4A	F minor
5039015	11	12A	C# minor
4928111	3	4A	F minor
3114501	3	4A	F minor
4508323	9	10A	B minor
3641166	8	9A	E minor
4960012	5	6A	G minor
4361260	4	5A	C minor
631240	5	6A	G minor
1611446	0	1A	G# minor
2029598	7	8A	A minor
1043194	8	9A	E minor
3958396	19	8B	C major
4302974	8	9A	E minor
5078640	3	4A	F minor
3349967	1	2A	D# minor
4293025	7	8A	A minor
4969568	9	10A	B minor
3516363	3	4A	F minor
4817706	11	12A	C# minor
3367555	16	5B	D# major
4327665	8	9A	E minor
1164898	19	8B	C major
4573655	8	9A	E minor
341832	20	9B	G major
3686302	6	7A	D minor
4755348	5	6A	G minor
3776015	9	10A	B minor
4325645	4	5A	C minor
3638836	3	4A	F minor
4941208	15	4B	G# major
4950604	3	4A	F minor
1792506	7	8A	A minor
1948785	3	4A	F minor
1785226	10	11A	F# minor
3397932	7	8A	A minor
1681074	6	7A	D minor
5070608	3	4A	F minor
774871	11	12A	C# minor
3533956	5	6A	G minor
5013910	5	6A	G minor
4093657	1	2A	D# minor
1795653	1	2A	D# minor
1837440	9	10A	B minor
4021075	3	4A	F minor
4657878	11	12A	C# minor
3377323	3	4A	F minor
5302340	4	5A	C minor
3545728	3	4A	F minor
3402888	6	7A	D minor
3387619	7	8A	A minor
2052966	2	3A	A# minor
3284384	12	1B	B major
1681085	10	11A	F# minor
4453556	5	6A	G minor
571009	3	4A	F minor
3969868	3	4A	F minor
4926785	5	6A	G minor
1776378	0	1A	G# minor
3178147	11	12A	C# minor
4688833	7	8A	A minor
2725289	8	9A	E minor
4399289	19	8B	C major
2025670	11	12A	C# minor
1007941	3	4A	F minor
4955428	2	3A	A# minor
3767408	5	6A	G minor
1161234	4	5A	C minor
3949799	7	8A	A minor
4786362	4	5A	C minor
2996293	8	9A	E minor
3696226	1	2A	D# minor
4898445	1	2A	D# minor
4200490	10	11A	F# minor
631883	4	5A	C minor
1194720	6	7A	D minor
4049579	5	6A	G minor
1796518	4	5A	C minor
2047796	6	7A	D minor
3076768	7	8A	A minor
3596904	0	1A	G# minor
4002242	19	8B	C major
3695262	3	4A	F minor
4927724	15	4B	G# major
3211603	4	5A	C minor
4996031	3	4A	F minor
5035524	8	9A	E minor
5085261	22	11B	A major
4857650	2	3A	A# minor
4834156	6	7A	D minor
4945105	3	4A	F minor
3070298	6	7A	D minor
2054968	4	5A	C minor
4234612	4	5A	C minor
3954191	3	4A	F minor
4702235	21	10B	D major
1880732	0	1A	G# minor
1092676	3	4A	F minor
1757071	8	9A	E minor
4868146	3	4A	F minor
4452122	2	3A	A# minor
3426285	1	2A	D# minor
1781139	4	5A	C minor
3574815	8	9A	E minor
2673254	3	4A	F minor
3629467	11	12A	C# minor
3313070	21	10B	D major
4824580	5	6A	G minor
4424988	0	1A	G# minor
3319589	8	9A	E minor
4452003	6	7A	D minor
1669939	23	12B	E major
796860	11	12A	C# minor
3228297	9	10A	B minor
3172588	10	11A	F# minor
3625299	5	6A	G minor
822664	2	3A	A# minor
3939148	5	6A	G minor
3354212	13	2B	F# major
1803909	9	10A	B minor
3971416	6	7A	D minor
1904501	6	7A	D minor
3602282	8	9A	E minor
5263098	5	6A	G minor
1234752	21	10B	D major
5073839	0	1A	G# minor
3344291	7	8A	A minor
495905	2	3A	A# minor
2049680	3	4A	F minor
305771	4	5A	C minor
4366506	1	2A	D# minor
1198688	6	7A	D minor
2666332	22	11B	A major
4758620	3	4A	F minor
3228698	8	9A	E minor
1983975	10	11A	F# minor
5159593	7	8A	A minor
4842349	5	6A	G minor
3324024	0	1A	G# minor
3954078	7	8A	A minor
3317232	5	6A	G minor
4066435	2	3A	A# minor
4328155	4	5A	C minor
1140027	4	5A	C minor
3517044	15	4B	G# major
2725284	0	1A	G# minor
1574723	5	6A	G minor
4540971	2	3A	A# minor
2081732	3	4A	F minor
3443052	2	3A	A# minor
5009084	2	3A	A# minor
3561744	10	11A	F# minor
4997194	0	1A	G# minor
4359736	3	4A	F minor
4315749	3	4A	F minor
992081	9	10A	B minor
3137686	7	8A	A minor
1075123	3	4A	F minor
3339291	5	6A	G minor
1960032	4	5A	C minor
1681077	3	4A	F minor
4297635	8	9A	E minor
5103693	3	4A	F minor
4104235	3	4A	F minor
3518921	9	10A	B minor
1234751	3	4A	F minor
3478184	1	2A	D# minor
1922470	1	2A	D# minor
4360488	3	4A	F minor
4476610	1	2A	D# minor
3262951	4	5A	C minor
5005412	5	6A	G minor
205597	5	6A	G minor
3980001	3	4A	F minor
2673252	4	5A	C minor
4433083	2	3A	A# minor
3178155	3	4A	F minor
4955940	0	1A	G# minor
3822226	0	1A	G# minor
2436729	4	5A	C minor
4934251	19	8B	C major
3129757	13	2B	F# major
3211733	3	4A	F minor
1356281	1	2A	D# minor
3524408	10	11A	F# minor
1206025	19	8B	C major
3302298	4	5A	C minor
891993	21	10B	D major
4779657	6	7A	D minor
3681890	19	8B	C major
3687442	0	1A	G# minor
5276059	4	5A	C minor
3740062	3	4A	F minor
3648814	9	10A	B minor
1673811	18	7B	F major
4953926	4	5A	C minor
1234670	3	4A	F minor
3589347	4	5A	C minor
3367553	23	12B	E major
3992511	3	4A	F minor
3633852	9	10A	B minor
5048263	5	6A	G minor
3467773	14	3B	C# major
1808022	2	3A	A# minor
3402886	10	11A	F# minor
3319290	3	4A	F minor
3233653	5	6A	G minor
2014445	1	2A	D# minor
4939812	2	3A	A# minor
4898455	2	3A	A# minor
2676506	3	4A	F minor
5049808	0	1A	G# minor
1706844	16	5B	D# major
1178656	4	5A	C minor
3829561	2	3A	A# minor
3372108	1	2A	D# minor
3836490	3	4A	F minor
3424038	11	12A	C# minor
853834	8	9A	E minor
3629920	5	6A	G minor
1771577	5	6A	G minor
4371042	6	7A	D minor
3930672	6	7A	D minor
435443	8	9A	E minor
3317417	4	5A	C minor
4014749	5	6A	G minor
2006103	0	1A	G# minor
4997222	11	12A	C# minor
4840289	8	9A	E minor
4693198	0	1A	G# minor
4992190	11	12A	C# minor
3995054	4	5A	C minor
2673157	9	10A	B minor
1026478	10	11A	F# minor
3519499	0	1A	G# minor
4093908	4	5A	C minor
5030517	10	11A	F# minor
