# Results from Rekordbox 7.12
ID	Class	Camelot	Keyname
1468437	8	9A	E minor
781995	19	8B	C major
3400782	5	6A	G minor
5039015	11	12A	C# minor
4928111	3	4A	F minor
3114501	6	7A	D minor
4508323	9	10A	B minor
3641166	8	9A	E minor
4960012	5	6A	G minor
4361260	4	5A	C minor
631240	5	6A	G minor
1611446	0	1A	G# minor
2029598	7	8A	A minor
1043194	8	9A	E minor
3958396	19	8B	C major
4302974	8	9A	E minor
5078640	1	2A	D# minor
3349967	3	4A	F minor
4293025	7	8A	A minor
4969568	21	10B	D major
3516363	3	4A	F minor
4817706	11	12A	C# minor
3367555	17	6B	A# major
4327665	8	9A	E minor
1164898	19	8B	C major
4573655	8	9A	E minor
341832	21	10B	D major
3686302	6	7A	D minor
4755348	5	6A	G minor
3776015	2	3A	A# minor
4325645	17	6B	A# major
3638836	18	7B	F major
4941208	15	4B	G# major
4950604	3	4A	F minor
1792506	6	7A	D minor
1948785	19	8B	C major
1785226	10	11A	F# minor
3397932	9	10A	B minor
1681074	22	11B	A major
5070608	3	4A	F minor
774871	16	5B	D# major
3533956	5	6A	G minor
5013910	5	6A	G minor
4093657	1	2A	D# minor
1795653	1	2A	D# minor
1837440	9	10A	B minor
4021075	3	4A	F minor
4657878	11	12A	C# minor
3377323	3	4A	F minor
5302340	4	5A	C minor
3545728	3	4A	F minor
3402888	6	7A	D minor
3387619	7	8A	A minor
2052966	2	3A	A# minor
3284384	12	1B	B major
1681085	0	1A	G# minor
4453556	5	6A	G minor
571009	3	4A	F minor
3969868	2	3A	A# minor
4926785	5	6A	G minor
1776378	3	4A	F minor
3178147	22	11B	A major
4688833	7	8A	A minor
2725289	8	9A	E minor
4399289	6	7A	D minor
2025670	11	12A	C# minor
1007941	3	4A	F minor
4955428	2	3A	A# minor
3767408	5	6A	G minor
1161234	4	5A	C minor
3949799	18	7B	F major
4786362	3	4A	F minor
2996293	8	9A	E minor
3696226	11	12A	C# minor
4898445	1	2A	D# minor
4200490	10	11A	F# minor
631883	4	5A	C minor
1194720	6	7A	D minor
4049579	5	6A	G minor
1796518	4	5A	C minor
2047796	7	8A	A minor
3076768	7	8A	A minor
3596904	0	1A	G# minor
4002242	7	8A	A minor
3695262	3	4A	F minor
4927724	15	4B	G# major
3211603	5	6A	G minor
4996031	3	4A	F minor
5035524	8	9A	E minor
5085261	8	9A	E minor
4857650	2	3A	A# minor
4834156	6	7A	D minor
4945105	3	4A	F minor
3070298	6	7A	D minor
2054968	4	5A	C minor
4234612	4	5A	C minor
3954191	3	4A	F minor
4702235	21	10B	D major
1880732	1	2A	D# minor
1092676	4	5A	C minor
1757071	9	10A	B minor
4868146	3	4A	F minor
4452122	2	3A	A# minor
3426285	1	2A	D# minor
1781139	4	5A	C minor
3574815	8	9A	E minor
2673254	13	2B	F# major
3629467	11	12A	C# minor
3313070	21	10B	D major
4824580	5	6A	G minor
4424988	11	12A	C# minor
3319589	8	9A	E minor
4452003	5	6A	G minor
1669939	10	11A	F# minor
796860	5	6A	G minor
3228297	9	10A	B minor
3172588	9	10A	B minor
3625299	5	6A	G minor
822664	2	3A	A# minor
3939148	20	9B	G major
3354212	2	3A	A# minor
1803909	9	10A	B minor
3971416	6	7A	D minor
1904501	7	8A	A minor
3602282	8	9A	E minor
5263098	5	6A	G minor
1234752	10	11A	F# minor
5073839	10	11A	F# minor
3344291	7	8A	A minor
495905	2	3A	A# minor
2049680	4	5A	C minor
305771	4	5A	C minor
4366506	16	5B	D# major
1198688	6	7A	D minor
2666332	8	9A	E minor
4758620	3	4A	F minor
3228698	23	12B	E major
1983975	10	11A	F# minor
5159593	7	8A	A minor
4842349	5	6A	G minor
3324024	0	1A	G# minor
3954078	8	9A	E minor
3317232	5	6A	G minor
4066435	2	3A	A# minor
4328155	4	5A	C minor
1140027	4	5A	C minor
3517044	15	4B	G# major
2725284	0	1A	G# minor
1574723	3	4A	F minor
4540971	2	3A	A# minor
2081732	2	3A	A# minor
3443052	3	4A	F minor
5009084	2	3A	A# minor
3561744	5	6A	G minor
4997194	0	1A	G# minor
4359736	3	4A	F minor
4315749	3	4A	F minor
992081	23	12B	E major
3137686	7	8A	A minor
1075123	3	4A	F minor
3339291	20	9B	G major
1960032	5	6A	G minor
1681077	0	1A	G# minor
4297635	8	9A	E minor
5103693	3	4A	F minor
4104235	3	4A	F minor
3518921	9	10A	B minor
1234751	3	4A	F minor
3478184	1	2A	D# minor
1922470	13	2B	F# major
4360488	14	3B	C# major
4476610	2	3A	A# minor
3262951	16	5B	D# major
5005412	5	6A	G minor
205597	5	6A	G minor
3980001	3	4A	F minor
2673252	4	5A	C minor
4433083	2	3A	A# minor
3178155	3	4A	F minor
4955940	0	1A	G# minor
3822226	0	1A	G# minor
2436729	4	5A	C minor
4934251	4	5A	C minor
3129757	14	3B	C# major
3211733	15	4B	G# major
1356281	1	2A	D# minor
3524408	10	11A	F# minor
1206025	20	9B	G major
3302298	4	5A	C minor
891993	21	10B	D major
4779657	17	6B	A# major
3681890	20	9B	G major
3687442	0	1A	G# minor
5276059	4	5A	C minor
3740062	15	4B	G# major
3648814	9	10A	B minor
1673811	4	5A	C minor
4953926	4	5A	C minor
1234670	18	7B	F major
3589347	4	5A	C minor
3367553	23	12B	E major
3992511	4	5A	C minor
3633852	9	10A	B minor
5048263	5	6A	G minor
3467773	14	3B	C# major
1808022	2	3A	A# minor
3402886	13	2B	F# major
3319290	3	4A	F minor
3233653	5	6A	G minor
2014445	1	2A	D# minor
4939812	2	3A	A# minor
4898455	2	3A	A# minor
2676506	3	4A	F minor
5049808	15	4B	G# major
1706844	1	2A	D# minor
1178656	5	6A	G minor
3829561	1	2A	D# minor
3372108	14	3B	C# major
3836490	3	4A	F minor
3424038	6	7A	D minor
853834	8	9A	E minor
3629920	5	6A	G minor
1771577	5	6A	G minor
4371042	18	7B	F major
3930672	6	7A	D minor
435443	8	9A	E minor
3317417	5	6A	G minor
4014749	5	6A	G minor
2006103	0	1A	G# minor
4997222	11	12A	C# minor
4840289	8	9A	E minor
4693198	15	4B	G# major
4992190	11	12A	C# minor
3995054	4	5A	C minor
2673157	9	10A	B minor
1026478	5	6A	G minor
3519499	0	1A	G# minor
4093908	5	6A	G minor
5030517	10	11A	F# minor
